VideoID,ThreadBin,Count,Percentage
6yZT29pdxJ8,Highly Destructive,0,0.0
73N_IIon5Yc,Constructive,0,0.0
73N_IIon5Yc,Slight/Neutral,1,100.0
73N_IIon5Yc,Moderately Destructive,0,0.0
73N_IIon5Yc,Highly Destructive,0,0.0
7e0_Jv-vAkI,Constructive,0,0.0
7e0_Jv-vAkI,Slight/Neutral,0,0.0
7e0_Jv-vAkI,Moderately Destructive,1,100.0
7e0_Jv-vAkI,Highly Destructive,0,0.0
7ekkiHFdfog,Constructive,0,0.0
7ekkiHFdfog,Slight/Neutral,1,100.0
7ekkiHFdfog,Moderately Destructive,0,0.0
7ekkiHFdfog,Highly Destructive,0,0.0
7nJ4egPFucM,Constructive,0,0.0
7nJ4egPFucM,Slight/Neutral,1,100.0
7nJ4egPFucM,Moderately Destructive,0,0.0
7nJ4egPFucM,Highly Destructive,0,0.0
7oYKt-1gQSA,Constructive,1,50.0
7oYKt-1gQSA,Slight/Neutral,1,50.0
7oYKt-1gQSA,Moderately Destructive,0,0.0
7oYKt-1gQSA,Highly Destructive,0,0.0
7tWyPiBDhKg,Constructive,1,100.0
7tWyPiBDhKg,Slight/Neutral,0,0.0
7tWyPiBDhKg,Moderately Destructive,0,0.0
7tWyPiBDhKg,Highly Destructive,0,0.0
8AyfvLm9Wfg,Constructive,0,0.0
8AyfvLm9Wfg,Slight/Neutral,1,100.0
8AyfvLm9Wfg,Moderately Destructive,0,0.0
8AyfvLm9Wfg,Highly Destructive,0,0.0
8HjnZSYls-c,Constructive,1,100.0
8HjnZSYls-c,Slight/Neutral,0,0.0
8HjnZSYls-c,Moderately Destructive,0,0.0
8HjnZSYls-c,Highly Destructive,0,0.0
8NKu7nP5BmI,Constructive,1,50.0
8NKu7nP5BmI,Slight/Neutral,0,0.0
8NKu7nP5BmI,Moderately Destructive,0,0.0
8NKu7nP5BmI,Highly Destructive,1,50.0
8b4RcqEFJ44,Constructive,0,0.0
8b4RcqEFJ44,Slight/Neutral,0,0.0
8b4RcqEFJ44,Moderately Destructive,2,66.7
8b4RcqEFJ44,Highly Destructive,1,33.3
8jLZJQO3NyY,Constructive,3,50.0
8jLZJQO3NyY,Slight/Neutral,2,33.3
8jLZJQO3NyY,Moderately Destructive,1,16.7
8jLZJQO3NyY,Highly Destructive,0,0.0
8nw2BpjYz4o,Constructive,0,0.0
8nw2BpjYz4o,Slight/Neutral,1,50.0
8nw2BpjYz4o,Moderately Destructive,1,50.0
8nw2BpjYz4o,Highly Destructive,0,0.0
8vwbPCpeV8M,Constructive,0,0.0
8vwbPCpeV8M,Slight/Neutral,0,0.0
8vwbPCpeV8M,Moderately Destructive,1,100.0
8vwbPCpeV8M,Highly Destructive,0,0.0
8zejmjkZ16o,Constructive,0,0.0
8zejmjkZ16o,Slight/Neutral,0,0.0
8zejmjkZ16o,Moderately Destructive,0,0.0
8zejmjkZ16o,Highly Destructive,1,100.0
9825tTj26_I,Constructive,0,0.0
9825tTj26_I,Slight/Neutral,0,0.0
9825tTj26_I,Moderately Destructive,1,100.0
9825tTj26_I,Highly Destructive,0,0.0
9N1FutrVy-M,Constructive,0,0.0
9N1FutrVy-M,Slight/Neutral,1,33.3
9N1FutrVy-M,Moderately Destructive,2,66.7
9N1FutrVy-M,Highly Destructive,0,0.0
9R06OCb1gSk,Constructive,1,33.3
9R06OCb1gSk,Slight/Neutral,1,33.3
9R06OCb1gSk,Moderately Destructive,0,0.0
9R06OCb1gSk,Highly Destructive,1,33.3
9UaxSz1_2S0,Constructive,0,0.0
9UaxSz1_2S0,Slight/Neutral,3,50.0
9UaxSz1_2S0,Moderately Destructive,2,33.3
9UaxSz1_2S0,Highly Destructive,1,16.7
9YO6I8aJ_Js,Constructive,0,0.0
9YO6I8aJ_Js,Slight/Neutral,0,0.0
9YO6I8aJ_Js,Moderately Destructive,1,100.0
9YO6I8aJ_Js,Highly Destructive,0,0.0
9ehTYQ1SVIU,Constructive,1,100.0
9ehTYQ1SVIU,Slight/Neutral,0,0.0
9ehTYQ1SVIU,Moderately Destructive,0,0.0
9ehTYQ1SVIU,Highly Destructive,0,0.0
9kcdXGIzu54,Constructive,0,0.0
9kcdXGIzu54,Slight/Neutral,1,50.0
9kcdXGIzu54,Moderately Destructive,1,50.0
9kcdXGIzu54,Highly Destructive,0,0.0
9u-MyvXYtrE,Constructive,0,0.0
9u-MyvXYtrE,Slight/Neutral,1,100.0
9u-MyvXYtrE,Moderately Destructive,0,0.0
9u-MyvXYtrE,Highly Destructive,0,0.0
9utgQOQ4ylc,Constructive,0,0.0
9utgQOQ4ylc,Slight/Neutral,0,0.0
9utgQOQ4ylc,Moderately Destructive,2,66.7
9utgQOQ4ylc,Highly Destructive,1,33.3
A--cPXkQefQ,Constructive,0,0.0
A--cPXkQefQ,Slight/Neutral,0,0.0
A--cPXkQefQ,Moderately Destructive,1,100.0
A--cPXkQefQ,Highly Destructive,0,0.0
A5mtV9_zYeU,Constructive,0,0.0
A5mtV9_zYeU,Slight/Neutral,0,0.0
A5mtV9_zYeU,Moderately Destructive,0,0.0
A5mtV9_zYeU,Highly Destructive,1,100.0
AIFbI1g23sI,Constructive,0,0.0
AIFbI1g23sI,Slight/Neutral,0,0.0
AIFbI1g23sI,Moderately Destructive,1,100.0
AIFbI1g23sI,Highly Destructive,0,0.0
AKRX-HePKBY,Constructive,0,0.0
AKRX-HePKBY,Slight/Neutral,0,0.0
AKRX-HePKBY,Moderately Destructive,1,100.0
AKRX-HePKBY,Highly Destructive,0,0.0
AZrgLtnugPc,Constructive,0,0.0
AZrgLtnugPc,Slight/Neutral,1,100.0
AZrgLtnugPc,Moderately Destructive,0,0.0
AZrgLtnugPc,Highly Destructive,0,0.0
AdVcczlRomw,Constructive,1,20.0
AdVcczlRomw,Slight/Neutral,2,40.0
AdVcczlRomw,Moderately Destructive,1,20.0
AdVcczlRomw,Highly Destructive,1,20.0
Aq7ryGkapuE,Constructive,0,0.0
Aq7ryGkapuE,Slight/Neutral,1,25.0
Aq7ryGkapuE,Moderately Destructive,2,50.0
Aq7ryGkapuE,Highly Destructive,1,25.0
AqpU8NnJwWY,Constructive,1,11.1
AqpU8NnJwWY,Slight/Neutral,4,44.4
AqpU8NnJwWY,Moderately Destructive,3,33.3
AqpU8NnJwWY,Highly Destructive,1,11.1
AsTggz--XB0,Constructive,0,0.0
AsTggz--XB0,Slight/Neutral,1,100.0
AsTggz--XB0,Moderately Destructive,0,0.0
AsTggz--XB0,Highly Destructive,0,0.0
AshxGZCsQCE,Constructive,1,100.0
AshxGZCsQCE,Slight/Neutral,0,0.0
AshxGZCsQCE,Moderately Destructive,0,0.0
AshxGZCsQCE,Highly Destructive,0,0.0
At-RJbygPDE,Constructive,1,33.3
At-RJbygPDE,Slight/Neutral,1,33.3
At-RJbygPDE,Moderately Destructive,1,33.3
At-RJbygPDE,Highly Destructive,0,0.0
BZiViq3Mu8U,Constructive,0,0.0
BZiViq3Mu8U,Slight/Neutral,1,100.0
BZiViq3Mu8U,Moderately Destructive,0,0.0
BZiViq3Mu8U,Highly Destructive,0,0.0
BaMU_6zI-7Y,Constructive,1,50.0
BaMU_6zI-7Y,Slight/Neutral,0,0.0
BaMU_6zI-7Y,Moderately Destructive,0,0.0
BaMU_6zI-7Y,Highly Destructive,1,50.0
Bbmcsm7vcSM,Constructive,0,0.0
Bbmcsm7vcSM,Slight/Neutral,0,0.0
Bbmcsm7vcSM,Moderately Destructive,1,100.0
Bbmcsm7vcSM,Highly Destructive,0,0.0
BdBVn0LuY50,Constructive,0,0.0
BdBVn0LuY50,Slight/Neutral,0,0.0
BdBVn0LuY50,Moderately Destructive,1,100.0
BdBVn0LuY50,Highly Destructive,0,0.0
Bqxweu6SAk8,Constructive,0,0.0
Bqxweu6SAk8,Slight/Neutral,0,0.0
Bqxweu6SAk8,Moderately Destructive,0,0.0
Bqxweu6SAk8,Highly Destructive,1,100.0
By3uvQUiDzQ,Constructive,1,100.0
By3uvQUiDzQ,Slight/Neutral,0,0.0
By3uvQUiDzQ,Moderately Destructive,0,0.0
By3uvQUiDzQ,Highly Destructive,0,0.0
C1sbYVcIK-I,Constructive,0,0.0
C1sbYVcIK-I,Slight/Neutral,1,50.0
C1sbYVcIK-I,Moderately Destructive,1,50.0
C1sbYVcIK-I,Highly Destructive,0,0.0
CQR6xfRhiMg,Constructive,0,0.0
CQR6xfRhiMg,Slight/Neutral,0,0.0
CQR6xfRhiMg,Moderately Destructive,3,100.0
CQR6xfRhiMg,Highly Destructive,0,0.0
CUd-m5L-4jQ,Constructive,0,0.0
CUd-m5L-4jQ,Slight/Neutral,0,0.0
CUd-m5L-4jQ,Moderately Destructive,2,100.0
CUd-m5L-4jQ,Highly Destructive,0,0.0
CbLw6ps-qi0,Constructive,0,0.0
CbLw6ps-qi0,Slight/Neutral,2,100.0
CbLw6ps-qi0,Moderately Destructive,0,0.0
CbLw6ps-qi0,Highly Destructive,0,0.0
CfIA490rTNQ,Constructive,0,0.0
CfIA490rTNQ,Slight/Neutral,0,0.0
CfIA490rTNQ,Moderately Destructive,2,100.0
CfIA490rTNQ,Highly Destructive,0,0.0
CsQfS34enNY,Constructive,1,50.0
CsQfS34enNY,Slight/Neutral,0,0.0
CsQfS34enNY,Moderately Destructive,1,50.0
CsQfS34enNY,Highly Destructive,0,0.0
CuxyMKscP30,Constructive,0,0.0
CuxyMKscP30,Slight/Neutral,0,0.0
CuxyMKscP30,Moderately Destructive,0,0.0
CuxyMKscP30,Highly Destructive,2,100.0
Cwi-cUV89Sw,Constructive,0,0.0
Cwi-cUV89Sw,Slight/Neutral,1,50.0
